Date/Time;14/03/2025;12:24:00.332;BEAM_PROFILE_Y
Distance (Î¼m);Intensity (cnts)
0;302
9,9;300
19,8;306
29,7;311
39,6;299
49,5;308
59,4;294
69,3;298
79,2;294
89,1;308
99;305
108,9;313
118,8;301
128,7;304
138,6;313
148,5;300
158,4;316
168,3;332
178,2;317
188,1;310
198;307
207,9;306
217,8;307
227,7;314
237,6;313
247,5;322
257,4;307
267,3;303
277,2;313
287,1;315
297;314
306,9;327
316,8;323
326,7;315
336,6;323
346,5;322
356,4;334
366,3;331
376,2;326
386,1;328
396;345
405,9;341
415,8;340
425,7;347
435,6;330
445,5;343
455,4;338
465,3;340
475,2;343
485,1;367
495;377
504,9;363
514,8;378
524,7;371
534,6;377
544,5;401
554,4;401
564,3;389
574,2;395
584,1;398
594;410
603,9;409
613,8;411
623,7;428
633,6;431
643,5;439
653,4;419
663,3;435
673,2;457
683,1;449
693;467
702,9;495
712,8;493
722,7;532
732,6;508
742,5;514
752,4;505
762,3;525
772,2;526
782,1;550
792;543
801,9;569
811,8;576
821,7;576
831,6;592
841,5;613
851,4;624
861,3;629
871,2;664
881,1;682
891;667
900,9;683
910,8;690
920,7;717
930,6;744
940,5;751
950,4;733
960,3;759
970,2;768
980,1;778
990;781
999,9;784
1009,8;812
1019,7;812
1029,6;838
1039,5;878
1049,4;841
1059,3;900
1069,2;910
1079,1;958
1089;943
1098,9;961
1108,8;1001
1118,7;1013
1128,6;1054
1138,5;1068
1148,4;1042
1158,3;1099
1168,2;1087
1178,1;1095
1188;1148
1197,9;1188
1207,8;1162
1217,7;1193
1227,6;1246
1237,5;1268
1247,4;1251
1257,3;1259
1267,2;1308
1277,1;1323
1287;1331
1296,9;1333
1306,8;1334
1316,7;1392
1326,6;1446
1336,5;1468
1346,4;1433
1356,3;1442
1366,2;1414
1376,1;1413
1386;1402
1395,9;1392
1405,8;1422
1415,7;1426
1425,6;1411
1435,5;1539
1445,4;1515
1455,3;1517
1465,2;1551
1475,1;1536
1485;1627
1494,9;1642
1504,8;1684
1514,7;1741
1524,6;1772
1534,5;1734
1544,4;1818
1554,3;1862
1564,2;1886
1574,1;2023
1584;1938
1593,9;2002
1603,8;2042
1613,7;2063
1623,6;2131
1633,5;2103
1643,4;2067
1653,3;2204
1663,2;2196
1673,1;2325
1683;2284
1692,9;2279
1702,8;2411
1712,7;2359
1722,6;2342
1732,5;2449
1742,4;2411
1752,3;2467
1762,2;2459
1772,1;2524
1782;2520
1791,9;2438
1801,8;2561
1811,7;2563
1821,6;2620
1831,5;2689
1841,4;2869
1851,3;2776
1861,2;2756
1871,1;2659
1881;2782
1890,9;2739
1900,8;2830
1910,7;2774
1920,6;2869
1930,5;2963
1940,4;2918
1950,3;2954
1960,2;2971
1970,1;2926
1980;3145
1989,9;3155
1999,8;3133
2009,7;2980
2019,6;3067
2029,5;3071
2039,4;3210
2049,3;3209
2059,2;3202
2069,1;3233
2079;3175
2088,9;3256
2098,8;3274
2108,7;3134
2118,6;3165
2128,5;3131
2138,4;3212
2148,3;3158
2158,2;3144
2168,1;3224
2178;3240
2187,9;3281
2197,8;3298
2207,7;3267
2217,6;3205
2227,5;3151
2237,4;3205
2247,3;3160
2257,2;3203
2267,1;3171
2277;3185
2286,9;3185
2296,8;3178
2306,7;3187
2316,6;3193
2326,5;3217
2336,4;3267
2346,3;3307
2356,2;3170
2366,1;3289
2376;3364
2385,9;3201
2395,8;3145
2405,7;3165
2415,6;3116
2425,5;3254
2435,4;3167
2445,3;3134
2455,2;3076
2465,1;3002
2475;3036
2484,9;3076
2494,8;3068
2504,7;3036
2514,6;3044
2524,5;3037
2534,4;2942
2544,3;2928
2554,2;2850
2564,1;2846
2574;2785
2583,9;2757
2593,8;2724
2603,7;2771
2613,6;2829
2623,5;2730
2633,4;2721
2643,3;2695
2653,2;2657
2663,1;2638
2673;2582
2682,9;2551
2692,8;2513
2702,7;2439
2712,6;2475
2722,5;2396
2732,4;2393
2742,3;2368
2752,2;2438
2762,1;2294
2772;2241
2781,9;2306
2791,8;2292
2801,7;2304
2811,6;2244
2821,5;2211
2831,4;2190
2841,3;2187
2851,2;2092
2861,1;2114
2871;2024
2880,9;2111
2890,8;1996
2900,7;1988
2910,6;1996
2920,5;1927
2930,4;1907
2940,3;1895
2950,2;1924
2960,1;1807
2970;1824
2979,9;1820
2989,8;1786
2999,7;1752
3009,6;1683
3019,5;1652
3029,4;1679
3039,3;1617
3049,2;1574
3059,1;1581
3069;1622
3078,9;1593
3088,8;1493
3098,7;1456
3108,6;1413
3118,5;1410
3128,4;1405
3138,3;1358
3148,2;1301
3158,1;1280
3168;1223
3177,9;1316
3187,8;1235
3197,7;1218
3207,6;1220
3217,5;1147
3227,4;1164
3237,3;1098
3247,2;1091
3257,1;1066
3267;1059
3276,9;1008
3286,8;988
3296,7;973
3306,6;944
3316,5;924
3326,4;914
3336,3;884
3346,2;847
3356,1;867
3366;850
3375,9;823
3385,8;779
3395,7;769
3405,6;780
3415,5;746
3425,4;740
3435,3;715
3445,2;685
3455,1;665
3465;650
3474,9;634
3484,8;653
3494,7;627
3504,6;604
3514,5;608
3524,4;572
3534,3;563
3544,2;532
3554,1;530
3564;522
3573,9;516
3583,8;514
3593,7;474
3603,6;471
3613,5;476
3623,4;457
3633,3;437
3643,2;451
3653,1;420
3663;409
3672,9;426
3682,8;400
3692,7;403
3702,6;378
3712,5;371
3722,4;367
3732,3;356
3742,2;378
3752,1;365
3762;350
3771,9;325
3781,8;305
3791,7;304
3801,6;325
3811,5;290
3821,4;290
3831,3;297
3841,2;280
3851,1;280
3861;271
3870,9;264
3880,8;269
3890,7;274
3900,6;258
3910,5;251
3920,4;253
3930,3;247
3940,2;247
3950,1;237
3960;233
3969,9;215
3979,8;226
3989,7;211
3999,6;211
4009,5;209
4019,4;203
4029,3;212
4039,2;213
4049,1;202
4059;203
4068,9;203
4078,8;194
4088,7;191
4098,6;182
4108,5;184
4118,4;180
4128,3;182
4138,2;177
4148,1;177
4158;178
4167,9;162
4177,8;172
4187,7;176
4197,6;167
4207,5;170
4217,4;175
4227,3;162
4237,2;168
4247,1;167
4257;157
4266,9;158
4276,8;167
4286,7;159
4296,6;154
4306,5;171
4316,4;161
4326,3;155
4336,2;144
4346,1;147
4356;140
4365,9;135
4375,8;151
4385,7;149
4395,6;149
4405,5;149
4415,4;134
4425,3;147
4435,2;140
4445,1;147
4455;143
4464,9;146
4474,8;149
4484,7;141
4494,6;149
4504,5;155
4514,4;140
4524,3;146
4534,2;145
4544,1;155
4554;140
4563,9;139
4573,8;135
4583,7;153
4593,6;148
4603,5;142
4613,4;137
4623,3;139
4633,2;142
4643,1;133
4653;146
4662,9;144
4672,8;147
4682,7;143
4692,6;144
4702,5;148
4712,4;153
4722,3;136
4732,2;145
4742,1;158
