Date/Time;14/03/2025;12:24:13.058;BEAM_PROFILE_X
Distance (Î¼m);Intensity (cnts)
0;377
9,9;361
19,8;361
29,7;351
39,6;354
49,5;353
59,4;326
69,3;348
79,2;351
89,1;325
99;334
108,9;343
118,8;355
128,7;358
138,6;344
148,5;327
158,4;347
168,3;327
178,2;346
188,1;348
198;340
207,9;316
217,8;296
227,7;320
237,6;325
247,5;303
257,4;311
267,3;330
277,2;324
287,1;313
297;316
306,9;313
316,8;313
326,7;292
336,6;326
346,5;312
356,4;313
366,3;317
376,2;306
386,1;324
396;316
405,9;309
415,8;309
425,7;309
435,6;305
445,5;310
455,4;299
465,3;308
475,2;298
485,1;299
495;297
504,9;296
514,8;292
524,7;301
534,6;296
544,5;309
554,4;311
564,3;308
574,2;282
584,1;303
594;309
603,9;308
613,8;294
623,7;301
633,6;301
643,5;308
653,4;303
663,3;304
673,2;316
683,1;311
693;294
702,9;300
712,8;318
722,7;311
732,6;310
742,5;308
752,4;312
762,3;318
772,2;319
782,1;312
792;304
801,9;314
811,8;303
821,7;292
831,6;295
841,5;312
851,4;307
861,3;309
871,2;300
881,1;298
891;288
900,9;313
910,8;303
920,7;306
930,6;326
940,5;316
950,4;307
960,3;297
970,2;314
980,1;319
990;327
999,9;327
1009,8;315
1019,7;326
1029,6;300
1039,5;321
1049,4;317
1059,3;335
1069,2;325
1079,1;322
1089;307
1098,9;332
1108,8;332
1118,7;335
1128,6;325
1138,5;322
1148,4;320
1158,3;327
1168,2;336
1178,1;331
1188;320
1197,9;330
1207,8;328
1217,7;327
1227,6;339
1237,5;335
1247,4;346
1257,3;349
1267,2;343
1277,1;344
1287;338
1296,9;361
1306,8;362
1316,7;360
1326,6;351
1336,5;359
1346,4;342
1356,3;365
1366,2;356
1376,1;367
1386;358
1395,9;375
1405,8;367
1415,7;389
1425,6;389
1435,5;396
1445,4;402
1455,3;410
1465,2;400
1475,1;422
1485;398
1494,9;418
1504,8;406
1514,7;427
1524,6;419
1534,5;443
1544,4;442
1554,3;468
1564,2;471
1574,1;492
1584;472
1593,9;478
1603,8;476
1613,7;462
1623,6;483
1633,5;503
1643,4;512
1653,3;527
1663,2;555
1673,1;541
1683;563
1692,9;553
1702,8;550
1712,7;560
1722,6;567
1732,5;586
1742,4;565
1752,3;585
1762,2;613
1772,1;653
1782;685
1791,9;692
1801,8;685
1811,7;674
1821,6;684
1831,5;670
1841,4;727
1851,3;733
1861,2;732
1871,1;736
1881;740
1890,9;743
1900,8;762
1910,7;778
1920,6;807
1930,5;854
1940,4;875
1950,3;857
1960,2;937
1970,1;908
1980;947
1989,9;959
1999,8;952
2009,7;967
2019,6;984
2029,5;1026
2039,4;1093
2049,3;1090
2059,2;1114
2069,1;1115
2079;1134
2088,9;1141
2098,8;1166
2108,7;1161
2118,6;1178
2128,5;1182
2138,4;1249
2148,3;1318
2158,2;1363
2168,1;1349
2178;1341
2187,9;1355
2197,8;1424
2207,7;1387
2217,6;1377
2227,5;1457
2237,4;1453
2247,3;1478
2257,2;1565
2267,1;1603
2277;1547
2286,9;1607
2296,8;1620
2306,7;1713
2316,6;1763
2326,5;1806
2336,4;1802
2346,3;1761
2356,2;1805
2366,1;1827
2376;1859
2385,9;1879
2395,8;1940
2405,7;1968
2415,6;2000
2425,5;1966
2435,4;2020
2445,3;2008
2455,2;1954
2465,1;2080
2475;2197
2484,9;2187
2494,8;2206
2504,7;2263
2514,6;2293
2524,5;2244
2534,4;2289
2544,3;2345
2554,2;2349
2564,1;2352
2574;2375
2583,9;2376
2593,8;2424
2603,7;2534
2613,6;2574
2623,5;2556
2633,4;2583
2643,3;2595
2653,2;2635
2663,1;2636
2673;2655
2682,9;2718
2692,8;2826
2702,7;2821
2712,6;2745
2722,5;2792
2732,4;2885
2742,3;2820
2752,2;2894
2762,1;2880
2772;2889
2781,9;2884
2791,8;2860
2801,7;2925
2811,6;2923
2821,5;2978
2831,4;3068
2841,3;3080
2851,2;3073
2861,1;3144
2871;3205
2880,9;3292
2890,8;3146
2900,7;3303
2910,6;3219
2920,5;3173
2930,4;3266
2940,3;3253
2950,2;3268
2960,1;3209
2970;3195
2979,9;3179
2989,8;3196
2999,7;3213
3009,6;3205
3019,5;3335
3029,4;3262
3039,3;3297
3049,2;3276
3059,1;3294
3069;3259
3078,9;3328
3088,8;3236
3098,7;3254
3108,6;3162
3118,5;3151
3128,4;3308
3138,3;3213
3148,2;3183
3158,1;3082
3168;3063
3177,9;3205
3187,8;3130
3197,7;3096
3207,6;3102
3217,5;3085
3227,4;3054
3237,3;3029
3247,2;2987
3257,1;3025
3267;3025
3276,9;3035
3286,8;2980
3296,7;2951
3306,6;3006
3316,5;3030
3326,4;2945
3336,3;2900
3346,2;2888
3356,1;2941
3366;3025
3375,9;2852
3385,8;2803
3395,7;2765
3405,6;2776
3415,5;2833
3425,4;2737
3435,3;2633
3445,2;2767
3455,1;2690
3465;2595
3474,9;2578
3484,8;2545
3494,7;2498
3504,6;2514
3514,5;2574
3524,4;2525
3534,3;2472
3544,2;2434
3554,1;2419
3564;2484
3573,9;2445
3583,8;2330
3593,7;2311
3603,6;2276
3613,5;2213
3623,4;2233
3633,3;2221
3643,2;2223
3653,1;2190
3663;2172
3672,9;2065
3682,8;1988
3692,7;1979
3702,6;2036
3712,5;2066
3722,4;1989
3732,3;1927
3742,2;1973
3752,1;1898
3762;1934
3771,9;1864
3781,8;1844
3791,7;1896
3801,6;1981
3811,5;1852
3821,4;1812
3831,3;1680
3841,2;1669
3851,1;1608
3861;1586
3870,9;1608
3880,8;1574
3890,7;1602
3900,6;1562
3910,5;1505
3920,4;1580
3930,3;1596
3940,2;1546
3950,1;1458
3960;1368
3969,9;1354
3979,8;1361
3989,7;1320
3999,6;1326
4009,5;1237
4019,4;1197
4029,3;1177
4039,2;1194
4049,1;1152
4059;1130
4068,9;1108
4078,8;1106
4088,7;1056
4098,6;1055
4108,5;1029
4118,4;1034
4128,3;991
4138,2;983
4148,1;952
4158;939
4167,9;903
4177,8;906
4187,7;890
4197,6;863
4207,5;845
4217,4;855
4227,3;819
4237,2;805
4247,1;795
4257;787
4266,9;742
4276,8;744
4286,7;732
4296,6;713
4306,5;681
4316,4;692
4326,3;673
4336,2;664
4346,1;648
4356;657
4365,9;622
4375,8;622
4385,7;611
4395,6;605
4405,5;591
4415,4;566
4425,3;576
4435,2;576
4445,1;535
4455;539
4464,9;516
4474,8;540
4484,7;510
4494,6;485
4504,5;466
4514,4;475
4524,3;456
4534,2;456
4544,1;462
4554;436
4563,9;445
4573,8;445
4583,7;421
4593,6;423
4603,5;427
4613,4;407
4623,3;423
4633,2;415
4643,1;405
4653;388
4662,9;382
4672,8;370
4682,7;376
4692,6;374
4702,5;370
4712,4;370
4722,3;356
4732,2;348
4742,1;338
4752;341
4761,9;350
4771,8;326
4781,7;342
4791,6;341
4801,5;334
4811,4;323
4821,3;311
4831,2;325
4841,1;319
4851;305
4860,9;317
4870,8;300
4880,7;294
4890,6;301
4900,5;305
4910,4;280
4920,3;292
4930,2;296
4940,1;289
4950;296
4959,9;292
4969,8;279
4979,7;267
4989,6;275
4999,5;274
5009,4;248
5019,3;269
5029,2;274
5039,1;267
5049;257
5058,9;257
5068,8;257
5078,7;250
5088,6;252
5098,5;269
5108,4;263
5118,3;272
5128,2;254
5138,1;257
5148;254
5157,9;250
5167,8;252
5177,7;241
5187,6;236
5197,5;238
5207,4;247
5217,3;244
5227,2;240
5237,1;242
5247;232
5256,9;248
5266,8;228
5276,7;236
5286,6;220
5296,5;227
5306,4;226
5316,3;223
5326,2;233
5336,1;220
5346;233
5355,9;238
5365,8;230
5375,7;228
5385,6;224
5395,5;219
5405,4;218
5415,3;228
5425,2;230
5435,1;219
5445;228
5454,9;226
5464,8;221
5474,7;221
5484,6;226
5494,5;232
5504,4;223
5514,3;228
5524,2;230
5534,1;226
5544;242
5553,9;232
5563,8;233
5573,7;227
5583,6;217
5593,5;226
5603,4;228
5613,3;222
5623,2;219
5633,1;224
5643;223
5652,9;220
5662,8;211
5672,7;215
5682,6;215
5692,5;216
5702,4;203
5712,3;210
5722,2;201
5732,1;206
5742;221
5751,9;211
5761,8;212
5771,7;223
5781,6;201
5791,5;203
5801,4;217
5811,3;210
5821,2;214
5831,1;214
5841;216
5850,9;215
5860,8;209
5870,7;213
5880,6;218
5890,5;211
5900,4;216
5910,3;217
5920,2;211
5930,1;222
5940;219
5949,9;228
5959,8;213
5969,7;226
5979,6;226
5989,5;226
5999,4;229
6009,3;234
6019,2;235
6029,1;226
6039;241
6048,9;223
6058,8;226
6068,7;229
6078,6;237
6088,5;251
6098,4;235
6108,3;237
6118,2;237
6128,1;242
6138;243
6147,9;232
6157,8;236
6167,7;239
6177,6;238
6187,5;247
6197,4;238
6207,3;237
6217,2;235
6227,1;246
6237;252
6246,9;247
6256,8;260
6266,7;252
6276,6;263
6286,5;265
6296,4;257
6306,3;262
6316,2;267
6326,1;264
